Date,Open,High,Low,Close
2020-01-02,9919.2484,9919.2484,9855.009,9869.5857
2020-01-03,9869.5857,9920.6908,9840.8656,9906.3017
2020-01-06,9906.3017,9906.4527,9864.4923,9892.9005
2020-01-07,9892.9005,9896.6685,9872.0563,9892.8759
2020-01-08,9892.8759,9962.993,9891.4161,9956.6961
2020-01-09,9956.6961,10109.0257,9955.9311,10105.5659
2020-01-10,10105.5659,10127.0357,10041.0997,10041.3651
2020-01-13,10041.3651,10048.2706,9942.5466,10002.1699
2020-01-14,10002.1699,10055.8812,10002.1699,10055.8246
2020-01-15,10055.8246,10086.648,10052.7834,10064.8728
2020-01-16,10064.8728,10109.9503,10049.6169,10109.765
2020-01-17,10109.765,10188.5884,10094.9,10188.0028
2020-01-20,10188.0028,10193.3479,10167.027,10189.9549
2020-01-21,10189.9549,10218.9822,10179.413,10218.317
2020-01-22,10218.317,10312.4034,10214.6905,10311.9758
2020-01-23,10311.9758,10330.5407,10259.4877,10265.5955
2020-01-24,10265.5955,10289.3198,10242.4886,10284.8712
2020-01-27,10284.8712,10313.8299,10273.7851,10281.1692
2020-01-28,10281.1692,10283.3011,10237.923,10266.4301
2020-01-29,10266.4301,10268.171,10216.0877,10229.3518
2020-01-30,10229.3518,10240.3991,10174.9315,10174.9315
2020-01-31,10174.9315,10227.576,10140.8567,10227.576
2020-02-03,10227.576,10227.576,10008.0516,10024.2288
2020-02-04,10024.2288,10069.7409,10024.2288,10046.5531
2020-02-05,10046.5531,10105.669,10044.7069,10044.8105
2020-02-06,10044.8105,10044.8105,9934.3625,9934.7785
2020-02-07,9934.7785,9947.0454,9888.4108,9922.5553
2020-02-10,9922.5553,9941.3034,9882.3859,9940.555
2020-02-11,9940.555,9940.753,9807.4635,9813.8888
2020-02-12,9813.8888,9821.9803,9783.4278,9808.0802
2020-02-13,9807.8822,9955.8053,9807.8822,9955.8053
2020-02-14,9955.8053,10069.0581,9920.1029,10069.0581
2020-02-17,10069.0581,10069.0581,9973.1765,10067.1127
2020-02-18,10067.1127,10077.5252,10001.5826,10005.4975
2020-02-19,10005.4975,10016.1763,9990.859,10016.0177
2020-02-20,10016.0177,10021.4589,9971.7477,10021.4589
2020-02-21,10021.4589,10210.4432,10021.4589,10210.1885
2020-02-24,10210.1885,10210.1885,10086.4895,10128.4016
2020-02-25,10128.4016,10162.3413,10126.2268,10158.4452
2020-02-26,10158.4452,10158.4452,10125.343,10130.0261
2020-02-27,10130.0261,10130.0261,10080.0511,10104.621
2020-02-28,10104.621,10123.6272,10003.7738,10003.7738
2020-03-02,10003.7738,10010.4431,9944.8179,9944.8179
2020-03-03,9944.8179,9945.4694,9735.5224,9754.1659
2020-03-04,9754.1659,9762.405,9685.3447,9685.9471
2020-03-05,9685.9471,9729.0497,9645.0914,9647.2955
2020-03-06,9647.2955,9655.0626,9345.2964,9345.9639
2020-03-09,9345.9639,9345.9639,8773.1865,8790.0092
2020-03-10,8790.0092,9324.8348,8789.5667,9281.9873
